pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
   85 Frame processing times:  Cur. 4.496297 ms  |  Avg. 4.000000 ms  |  matches:  1600
   86 Frame processing times:  Cur. 4.512074 ms  |  Avg. 4.000000 ms  |  matches:  1600
   87 Frame processing times:  Cur. 4.475519 ms  |  Avg. 4.000000 ms  |  matches:  1600
   88 Frame processing times:  Cur. 4.475037 ms  |  Avg. 4.000000 ms  |  matches:  1600
   89 Frame processing times:  Cur. 4.504482 ms  |  Avg. 4.000000 ms  |  matches:  1600
   90 Frame processing times:  Cur. 4.480685 ms  |  Avg. 4.000000 ms  |  matches:  1600
   91 Frame processing times:  Cur. 4.480333 ms  |  Avg. 4.000000 ms  |  matches:  1600
   92 Frame processing times:  Cur. 4.501630 ms  |  Avg. 4.000000 ms  |  matches:  1600
   93 Frame processing times:  Cur. 4.483519 ms  |  Avg. 4.000000 ms  |  matches:  1600
   94 Frame processing times:  Cur. 4.477667 ms  |  Avg. 4.000000 ms  |  matches:  1600
   95 Frame processing times:  Cur. 4.522259 ms  |  Avg. 4.000000 ms  |  matches:  1600
   96 Frame processing times:  Cur. 4.480204 ms  |  Avg. 4.000000 ms  |  matches:  1600
   97 Frame processing times:  Cur. 4.477370 ms  |  Avg. 4.000000 ms  |  matches:  1600
   98 Frame processing times:  Cur. 4.506055 ms  |  Avg. 4.000000 ms  |  matches:  1600
   99 Frame processing times:  Cur. 4.479000 ms  |  Avg. 4.000000 ms  |  matches:  1600
  100 Frame processing times:  Cur. 4.482277 ms  |  Avg. 4.000000 ms  |  matches:  1600
  101 Frame processing times:  Cur. 4.491740 ms  |  Avg. 4.000000 ms  |  matches:  1600
  102 Frame processing times:  Cur. 4.478462 ms  |  Avg. 4.000000 ms  |  matches:  1600
  103 Frame processing times:  Cur. 4.465593 ms  |  Avg. 4.000000 ms  |  matches:  1600
  104 Frame processing times:  Cur. 4.511075 ms  |  Avg. 4.000000 ms  |  matches:  1600
  105 Frame processing times:  Cur. 4.478963 ms  |  Avg. 4.000000 ms  |  matches:  1600
  106 Frame processing times:  Cur. 4.482111 ms  |  Avg. 4.000000 ms  |  matches:  1600
  107 Frame processing times:  Cur. 4.502426 ms  |  Avg. 4.000000 ms  |  matches:  1600
  108 Frame processing times:  Cur. 4.466518 ms  |  Avg. 4.000000 ms  |  matches:  1600
  109 Frame processing times:  Cur. 4.474778 ms  |  Avg. 4.000000 ms  |  matches:  1600
  110 Frame processing times:  Cur. 4.501630 ms  |  Avg. 4.000000 ms  |  matches:  1600
  111 Frame processing times:  Cur. 4.483203 ms  |  Avg. 4.000000 ms  |  matches:  1600
  112 Frame processing times:  Cur. 4.458963 ms  |  Avg. 4.000000 ms  |  matches:  1600
  113 Frame processing times:  Cur. 4.479851 ms  |  Avg. 4.000000 ms  |  matches:  1600
